model,n_splits,rmse_mean,rmse_std,r2_mean,r2_std
mean_baseline,5,0.9996545064963914,0.008193665412947283,-0.0002021431484737324,0.00026806064451401023
ridge_l2,5,0.9731126800701858,0.015227789301526528,0.05223157183381828,0.016426055338317907
random_forest,5,0.8303576502776547,0.010961674807900888,0.30986521660205685,0.011671659302859575
